prime_type,prime,target_full,target_fragment,SOA,correct_response,delay
unrelated ,bubbles,closet,c_o_e_,0.4,closet,0.9
unrelated ,powder,chicken,c_i_k_n,0.1,chicken,0.6
unrelated ,turmeric,sipper,s_p_e_,0.4,sipper,0.9
unrelated ,perfume,blanket,b_an__e_,0.1,blanket,0.6
unrelated ,register,flute,fl__e,0.4,flute,0.9
unrelated ,flipflops,battle,b_t_l_,0.1,battle,0.6
unrelated ,window,binary,bi_a_y,0.4,binary,0.9
unrelated ,eye,economics,ec__o_i_s,0.1,economics,0.6
unrelated ,curtain,wizard,w__a_d,0.4,wizard,0.9
unrelated ,bracelet,burger,b_r_e_,0.1,burger,0.6
unrelated ,electron,chart,c_a_t,0.4,chart,0.9
unrelated ,spaceship,game,g_m_,0.1,game,0.6
unrelated ,fan,maize,m_i_e,0.4,maize,0.9
unrelated ,shelf,motor,m_t_r,0.1,motor,0.6
unrelated ,towel,grass,g_a_s,0.4,grass,0.9
unrelated ,ladder,pitcher,p_t_h_r,0.1,pitcher,0.6
unrelated ,carpet,lightning,l_g_t_n_,0.4,lightning,0.9
unrelated ,year,milk,m__k,0.1,milk,0.6
unrelated ,months,high,h_g_,0.4,high,0.9
unrelated ,numbers,fire,f_re,0.1,fire,0.6
unrelated ,pot,headphone,h_a_p_o_e,0.4,headphone,0.9
unrelated ,suitcase,feet,f_e_,0.1,feet,0.6
unrelated ,charger,dinner,d_n_e_,0.4,dinner,0.9
unrelated ,skirt,earbuds,e_r_u_s,0.1,earbuds,0.6
unrelated ,shirt,chips,c_i_s,0.4,chips,0.9
unrelated ,breakfast,dustbin,d_s_b_n,0.1,dustbin,0.6
unrelated ,radio,archer,a_c_e_,0.4,archer,0.9
unrelated ,cereal ,ropes,r_p_s,0.1,ropes,0.6
unrelated ,wallet,pizza,p_z_a,0.4,pizza,0.9
unrelated ,window,cat,c_t,0.1,cat,0.6
unrelated ,lantern,giant,g_a_t,0.4,giant,0.9
unrelated ,hammer,fan,f_n,0.1,fan,0.6
